"Date","Elevation","Storage","Evaporation","Inflow","UnregInflow","Power","Bypass","Spillway","Total"
2003-01-01,7446.05,290948,121,312,297,180,0,NA,184
2003-02-01,7446.43,292288,149,299,289,273,NA,NA,273
2003-03-01,7449.6,310318,298,440,432,142,NA,NA,142
2003-04-01,7447.57,298664,471,650,699,838,NA,NA,837
2003-05-01,7466.19,410505,719,2516,2826,686,NA,NA,686
2003-06-01,7480.55,511548,1138,2529,2863,812,NA,NA,812
2003-07-01,7473.26,458085,1151,798,704,1648,NA,NA,1648
2003-08-01,7465.04,404657,877,656,538,1510,NA,NA,1510
2003-09-01,7462.45,386515,686,755,760,1048,NA,NA,1048
2003-10-01,7458.78,363772,413,410,428,773,NA,NA,773
2003-11-01,7459.81,370076,201,376,395,267,NA,NA,267
2003-12-01,7460.86,376564,144,349,358,241,NA,NA,241
2004-01-01,7461.96,383119,148,330,339,221,NA,NA,221
2004-02-01,7463.03,390179,196,329,337,203,0,NA,203
2004-03-01,7467.75,420757,383,717,747,213,0,0,213
2004-04-01,7472.65,453871,639,1082,1146,515,0,-2147483648,515
2004-05-01,7487.46,561742,980,2294,2499,524,0,0,524
2004-06-01,7496.91,634862,1298,2145,2260,907,0,0,907
2004-07-01,7493.9,612817,1361,1173,1054,1509,0,0,1509
2004-08-01,7486.8,559602,1069,667,459,1515,0,0,1515
2004-09-01,7479.53,507455,832,539,372,1402,0,0,1402
2004-10-01,7476.36,480173,476,495,464,943,0,0,943
2004-11-01,7478.33,493608,235,417,432,187,0,0,187
2004-12-01,7478.08,491453,167,332,342,364,0,0,364
2005-01-01,7477.11,485653,170,351,368,442,0,0,442
2005-02-01,7473.39,460724,209,347,356,792,0,0,792
2005-03-01,7467.3,421022,404,442,444,1082,0,0,1082
2005-04-01,7460.89,377249,597,1031,1052,1757,0,0,1757
2005-05-01,7475.73,471486,850,3012,3178,1466,0,0,1466
2005-06-01,7496.06,624401,1236,3614,3877,1023,0,0,1023
2005-07-01,7498.38,648085,1380,1704,1617,1297,0,0,1297
2005-08-01,7496.16,630106,1110,1043,869,1317,0,0,1317
2005-09-01,7490.91,588444,884,572,428,1257,0,0,1257
2005-10-01,7489.34,576220,517,680,689,870,0,0,870
2005-11-01,7489.89,580491,255,452,459,376,0,0,376
2005-12-01,7489.99,581269,181,414,414,398,0,0,398
2006-01-01,7489.06,574054,184,404,406,519,0,0,519
2006-02-01,7488.48,569576,229,399,386,476,0,0,476
2006-03-01,7487.77,564118,457,602,592,683,0,0,683
2006-04-01,7492.66,602197,728,1689,1744,1037,0,0,1037
2006-05-01,7510.68,751761,1111,3274,3517,824,0,0,824
2006-06-01,7517.05,808359,1470,2506,2606,1531,0,0,1531
2006-07-01,7513.07,772742,1520,1350,1242,1904,0,0,1904
2006-08-01,7506.88,718986,1190,1119,971,1974,0,0,1974
2006-09-01,7500.66,666782,932,801,684,1663,0,0,1663
2006-10-01,7499.59,657978,547,932,1024,1084,0,0,1084
2006-11-01,7498.1,645806,269,591,623,781,0,0,781
2006-12-01,7490.78,587427,186,421,426,1368,0,0,1368
2007-01-01,7482.56,524818,180,351,342,1366,0,0,1366
2007-02-01,7478.89,497936,216,391,380,872,0,0,872
2007-03-01,7481.01,513383,430,828,856,570,0,0,570
2007-04-01,7483.72,533453,697,1078,1129,729,0,0,729
2007-05-01,7500.42,664801,1060,2826,3078,673,0,0,673
2007-06-01,7514.6,786336,1413,2824,2905,758,0,0,758
2007-07-01,7513.48,776373,1508,1317,1149,1455,0,0,1455
2007-08-01,7510.4,749321,1207,1179,1044,1599,0,0,1599
2007-09-01,7503.06,686714,950,740,638,1776,0,0,1776
2007-10-01,7498.53,649309,553,645,639,1244,0,0,1244
2007-11-01,7494.31,615285,265,414,414,982,0,0,982
2007-12-01,7489.9,580567,183,426,433,988,0,0,988
2008-01-01,7481.92,520082,180,388,393,1368,0,0,1368
2008-02-01,7472.73,454424,221,376,373,1513,0,0,1513
2008-03-01,7470.5,439177,403,541,497,782,0,0,782
2008-04-01,7466.24,410832,619,1909,1706,2375,0,0,2375
2008-05-01,7475.27,472117,913,5075,5174,3242,821,0,4063
2008-06-01,7503.56,690900,1263,6439,6869,2408,334,0,2741
2008-07-01,7511.87,762170,1471,2855,2792,1672,0,0,1672
2008-08-01,7507.44,723775,1190,1337,1145,1942,0,0,1942
2008-09-01,7498.61,649962,932,704,587,1929,0,0,1929
2008-10-01,7492.14,598095,533,543,538,1378,0,0,1378
2008-11-01,7491.42,592437,258,465,461,556,0,0,556
2008-12-01,7490.25,583291,182,445,448,590,0,0,590
2009-01-01,7488.62,570655,183,433,430,636,0,0,636
2009-02-01,7486.19,552059,227,431,424,761,0,0,761
2009-03-01,7484.97,542831,449,652,644,795,0,0,795
2009-04-01,7489.84,580101,712,1661,1753,1023,0,0,1023
2009-05-01,7513.48,776373,1119,5163,5589,1790,163,0,1953
2009-06-01,7519.02,826302,1482,3814,3853,2896,54,0,2950
2009-07-01,7514.49,785354,1535,1704,1548,2345,0,0,2345
2009-08-01,7505.79,709710,1193,875,678,2086,0,0,2086
2009-09-01,7498.71,650778,931,592,440,1567,0,0,1567
2009-10-01,7492.82,603460,534,560,532,1321,0,0,1321
2009-11-01,7492.84,603618,260,478,455,471,0,0,471
2009-12-01,7489.73,579246,182,375,337,769,0,0,769
2010-01-01,7487.22,559906,182,394,360,705,0,0,705
2010-02-01,7485.33,545547,225,426,388,680,0,0,680
2010-03-01,7484.88,542154,447,496,467,544,0,0,544
2010-04-01,7490.8,587583,716,1539,1616,764,0,0,764
2010-05-01,7492.59,601643,1045,2133,2326,1795,93,0,1887
2010-06-01,7508.76,735117,1379,3129,3440,863,0,0,863
2010-07-01,7504.17,696022,1446,976,811,1588,0,0,1588
2010-08-01,7500.54,665791,1143,1023,904,1496,0,0,1496
2010-09-01,7493.54,609162,901,517,389,1452,1,0,1453
2010-10-01,7486.2,552135,515,464,477,1383,0,0,1383
2010-11-01,7486.6,555176,250,454,457,399,0,0,399
2010-12-01,7486.84,557005,177,477,490,444,0,0,444
2011-01-01,7486.34,553198,180,378,376,437,0,0,437
2011-02-01,7483.46,531512,224,380,375,767,0,0,767
2011-03-01,7478.48,494977,435,628,613,1215,0,0,1215
2011-04-01,7475.97,477055,668,1306,1295,1596,0,0,1596
2011-05-01,7478.26,493392,950,2917,2736,2636,0,0,2636
2011-06-01,7508.73,734858,1292,6533,7135,2140,313,0,2453
2011-07-01,7516.8,806099,1535,3618,3618,2435,0,0,2435
2011-08-01,7511.67,760415,1223,1285,1082,2008,0,0,2008
2011-09-01,7504.54,699138,956,809,588,1823,0,0,1823
2011-10-01,7497.84,643692,550,619,582,1512,0,0,1512
2011-11-01,7496.82,635428,267,490,481,625,0,0,625
2011-12-01,7489.07,574131,184,427,397,1421,0,0,1421
2012-01-01,7485.29,545245,180,378,363,844,0,0,844
2012-02-01,7483.66,533005,233,375,370,583,0,0,583
2012-03-01,7484.49,539221,443,636,658,527,0,0,527
2012-04-01,7483.54,532109,705,866,962,973,0,0,973
2012-05-01,7482.82,526748,1003,1079,1208,1150,0,0,1150
2012-06-01,7476.82,483086,1194,845,750,1559,0,0,1559
2012-07-01,7469.29,431017,1172,634,495,1462,0,0,1462
2012-08-01,7462.48,386703,892,584,459,1290,0,0,1290
2012-09-01,7454.82,340114,678,361,323,1133,0,0,1133
2012-10-01,7452.55,326963,383,329,333,537,0,0,537
2012-11-01,7452.39,326047,188,315,316,327,0,0,327
2012-12-01,7452.65,327536,133,289,288,263,0,0,263
2013-01-01,7452.77,328224,136,258,258,244,0,0,244
2013-02-01,7452.95,329258,171,286,285,265,0,0,265
2013-03-01,7454.12,336027,343,372,377,256,0,0,256
2013-04-01,7454.46,338009,550,688,724,645,0,0,645
2013-05-01,7464.34,398535,815,1935,2163,937,0,0,937
2013-06-01,7470.58,439719,1101,1870,2118,1159,0,0,1159
2013-07-01,7463.2,391259,1110,823,724,1593,0,0,1593
2013-08-01,7457.29,354764,848,872,747,1452,0,0,1452
2013-09-01,7456.24,348493,656,1020,951,1114,0,0,1114
2013-10-01,7456.34,349088,397,765,785,749,0,0,749
2013-11-01,7459.38,367437,198,549,556,238,0,0,238
2013-12-01,7461.56,380926,144,408,405,186,0,0,186
2014-01-01,7462.81,388788,149,363,362,232,0,0,232
2014-02-01,7464.31,398343,189,404,409,229,0,0,229
2014-03-01,7465.76,407705,381,536,528,378,0,0,378
2014-04-01,7480.43,509134,641,2187,2174,472,0,0,472
2014-05-01,7501.73,675634,1049,3899,3938,1119,56,0,1174
2014-06-01,7499.76,659373,1361,5689,6061,3118,2379,444,5939
2014-07-01,7500.15,662579,1399,2002,1906,1927,0,0,1927
2014-08-01,7496,628817,1116,1164,1034,1695,0,0,1695
2014-09-01,7492.28,599198,886,883,813,1365,0,0,1365
2014-10-01,7490.77,587349,522,856,888,1040,0,0,1040
2014-11-01,7491.85,595813,258,603,617,457,0,0,457
2014-12-01,7489.11,574440,182,549,548,894,0,0,894
2015-01-01,7485.48,546680,181,490,481,938,0,0,938
2015-02-01,7485.47,546604,224,522,506,520,0,0,520
2015-03-01,7488.96,573280,452,863,871,422,0,0,422
2015-04-01,7492.04,597308,737,1169,1228,753,0,0,753
2015-05-01,7498.96,652820,1076,2083,2216,1162,0,0,1162
2015-06-01,7517.76,814803,1450,5976,6181,2101,1046,88,3229
2015-07-01,7516.74,805556,1544,2234,2134,2194,166,0,2359
2015-08-01,7512.97,771859,1227,1180,965,1708,0,0,1708
2015-09-01,7507.65,725574,969,836,651,1597,0,0,1597
2015-10-01,7501.39,672815,560,560,543,1409,0,0,1409
2015-11-01,7499.64,658389,272,517,510,755,0,0,755
2015-12-01,7495.46,624480,189,456,443,1004,0,0,1004
2016-01-01,7491.12,590086,187,439,435,995,0,0,995
2016-02-01,7487.04,558531,240,471,450,1018,0,0,1015
2016-03-01,7487.62,562967,454,684,669,605,0,0,605
2016-04-01,7488.62,570655,721,1206,1263,1064,0,0,1064
2016-05-01,7488.74,571581,1040,2521,2614,2178,311,0,2489
2016-06-01,7514.84,788479,1383,4446,4786,777,0,0,777
2016-07-01,7512.31,766038,1515,1479,1321,1819,0,0,1819
2016-08-01,7506.94,719500,1187,1052,930,1790,0,0,1790
2016-09-01,7500.48,665296,935,779,637,1674,0,0,1674
2016-10-01,7493.44,608369,539,545,529,1462,0,0,1462
2016-11-01,7492.53,601169,260,446,433,563,0,0,563
2016-12-01,7491.43,592515,183,429,423,569,0,0,567
2017-01-01,7490.68,586646,185,459,466,551,0,0,551
2017-02-01,7488.71,571350,230,525,514,793,15,0,796
2017-03-01,7488.71,571350,453,1139,1134,1126,6,0,1131
2017-04-01,7499.55,657650,748,2359,2433,897,0,0,897
2017-05-01,7491.98,596836,1116,3790,3963,2452,1053,1257,4761
2017-06-01,7515.35,793044,1368,6269,6582,2333,590,26,2949
2017-07-01,7518.2,818809,1536,2232,2201,1830,0,0,1788
2017-08-01,7516.38,802306,1246,1562,1361,1810,0,0,1810
2017-09-01,7508.43,732274,982,760,586,1937,0,0,1921
2017-10-01,7500.64,666615,562,595,599,1653,0,0,1653
2017-11-01,7499.68,658717,270,539,546,667,0,0,667
2017-12-01,7491.44,592594,187,435,401,1507,0,0,1507
2018-01-01,7486.51,554491,182,365,332,982,0,0,982
2018-02-01,7485.54,547134,225,444,413,572,0,0,572
2018-03-01,7483.73,533528,447,480,452,694,0,0,694
2018-04-01,7478.94,498298,688,792,808,1373,0,0,1373
2018-05-01,7480.9,512576,980,1632,1827,1383,0,0,1383
2018-06-01,7475.06,470641,1178,958,938,1643,0,0,1643
2018-07-01,7464.43,399113,1141,502,348,1647,0,0,1647
2018-08-01,7453.77,333994,838,460,303,1506,0,0,1506
2018-09-01,7444.44,282401,613,290,195,496,650,0,1146
2018-10-01,7437.59,247684,335,355,373,748,186,0,914
2018-11-01,7438.08,250079,161,361,362,318,0,0,318
2018-12-01,7437.82,248806,114,315,318,334,0,0,334
2019-01-01,7438.4,251651,116,319,324,271,0,0,271
2019-02-01,7437.59,247684,145,354,360,423,0,0,423
2019-03-01,7438.01,249736,289,439,452,401,0,0,401
2019-04-01,7453.91,334806,487,1989,2039,551,0,0,551
2019-05-01,7471.68,447211,889,3550,3487,1399,296,13,1707
2019-06-01,7504.14,695770,1211,7456,7915,2088,1170,0,3258
2019-07-01,7518.61,822551,1527,4326,4590,1415,824,0,2239
2019-08-01,7514.39,784463,1233,1633,1492,1231,1015,0,2232
2019-09-01,7508.84,735807,978,756,530,760,798,0,1557
2019-10-01,7502.51,682122,565,522,458,1330,56,0,1386
2019-11-01,7497.63,641987,270,535,516,1205,0,0,1205
2019-12-01,7490.79,587505,186,493,483,1376,0,0,1376
2020-01-01,7486.45,554035,182,449,427,990,0,0,990
2020-02-01,7484.2,537045,234,413,390,705,0,0,705
2020-03-01,7483.85,534425,445,584,560,620,0,0,620
2020-04-01,7480.49,509573,694,823,840,1229,0,0,1229
2020-05-01,7485.88,549707,1003,2279,2484,1339,271,0,1610
2020-06-01,7491.64,594163,1280,2203,2333,1392,53,0,1435
2020-07-01,7486.61,555252,1311,889,742,1491,10,0,1500
2020-08-01,7478.53,495337,1018,592,424,1550,0,0,1550
2020-09-01,7470.42,438635,779,444,380,1351,36,1,1383
2020-10-01,7463.47,388769,436,350,332,1081,0,0,1081
2020-11-01,7464.59,395904,209,427,414,303,0,0,303
2020-12-01,7464.73,396801,149,358,340,341,0,0,341
2021-01-01,7465.24,400082,152,371,351,316,0,0,316
2021-02-01,7465.37,400921,192,390,366,371,0,0,371
2021-03-01,7465.07,398986,384,492,466,517,0,0,517
2021-04-01,7459.68,365217,592,774,796,1331,0,0,1331
2021-05-01,7457.14,349952,792,1354,1457,1561,29,0,1590
2021-06-01,7463.84,391117,1024,1999,2138,1290,0,0,1290
2021-07-01,7457.21,350366,1039,949,860,1595,0,0,1595
2021-08-01,7450.2,310402,787,870,740,1508,0,0,1508
2021-09-01,7436.58,241051,571,417,318,1573,0,0,1573
2021-10-01,7429.52,208892,302,430,433,948,0,0,948
2021-11-01,7431.94,219656,146,449,446,265,0,0,265
2021-12-01,7434.4,230874,106,358,356,174,0,0,174
